case_id,e1,e2,e3,t1,t2,t3,total_thickness,peak_downward_uz,peak_downward_abs,mean_patch_uz,mean_patch_abs,pinn_eval_seconds,n_eval_points
random_interior_258,9.6428409,7.5208771,8.2200424,0.093191068,0.052434834,0.055804857,0.20143076,-0.06826041191,0.06826041191,-0.0510716929,0.0510716929,0.000784,441
random_interior_047,6.5908338,8.2311411,8.0706422,0.08325782,0.044633506,0.090705405,0.21859673,-0.06828876811,0.06828876811,-0.05137563081,0.05137563081,0.002025,441
random_interior_404,7.4052006,6.4842845,6.6410648,0.088465758,0.067924701,0.058764066,0.21515453,-0.06950718395,0.06950718395,-0.05250987778,0.05250987778,0.000928,441
random_interior_119,6.5303067,5.2441178,7.006319,0.067582178,0.088402225,0.067866487,0.22385089,-0.06955470417,0.06955470417,-0.05276894744,0.05276894744,0.000837,441
random_interior_281,5.8807167,6.9994809,5.067051,0.084150269,0.085857354,0.098397812,0.26840543,-0.07063177172,0.07063177172,-0.04986194795,0.04986194795,0.000776,441
random_interior_004,5.9210996,7.9910291,5.1285789,0.093252411,0.085214447,0.090187452,0.26865431,-0.0706677561,0.0706677561,-0.04933201066,0.04933201066,0.011112,441
random_interior_291,6.7053272,7.3068356,8.5411272,0.081209392,0.066538639,0.047579087,0.19532712,-0.07098425195,0.07098425195,-0.0548616643,0.0548616643,0.000776,441
random_interior_172,7.0492157,6.9533981,4.6521749,0.082771624,0.077881629,0.064392942,0.22504619,-0.07139549399,0.07139549399,-0.0540206988,0.0540206988,0.000796,441
random_interior_374,9.6383626,5.2646895,9.762152,0.071208469,0.089257384,0.039493944,0.1999598,-0.0721213822,0.0721213822,-0.05492675282,0.05492675282,0.000761,441
random_interior_494,7.8389959,5.6210803,9.731889,0.090482207,0.092753931,0.099786398,0.28302254,-0.07306689291,0.07306689291,-0.04886759935,0.04886759935,0.001887,441
random_interior_271,7.8344095,7.1653601,4.4111306,0.090272984,0.076859985,0.064722097,0.23185507,-0.07308363944,0.07308363944,-0.05414414778,0.05414414778,0.000782,441
random_interior_269,3.3762848,7.0428553,6.6492929,0.067917941,0.086531537,0.093126258,0.24757574,-0.0733202022,0.0733202022,-0.05456559155,0.05456559155,0.000784,441
random_interior_400,8.0807089,5.3917119,5.4931357,0.090203995,0.082327517,0.089440742,0.26197225,-0.07460261755,0.07460261755,-0.05243811958,0.05243811958,0.000794,441
random_interior_091,8.0225542,8.0521562,5.6764881,0.062645415,0.084630396,0.048550062,0.19582587,-0.07574974326,0.07574974326,-0.05871068151,0.05871068151,0.000948,441
random_interior_461,9.9948831,7.2710646,6.9825285,0.099089073,0.081074839,0.044709271,0.22487318,-0.07671738894,0.07671738894,-0.0540552663,0.0540552663,0.000775,441
