L-BFGS Step 21: Total Loss: 1.908529e+02 | PDE: 1.946255e-01 | BC_sides: 1.662887e-03 | Free_top: 4.388412e-02 | Free_bot: 3.242160e-02 | Load: 1.048352e-01 | Energy: -3.439578e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.192767e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.832514e-01 | Time: 0.5152s
L-BFGS Step 22: Total Loss: 1.907798e+02 | PDE: 2.028578e-01 | BC_sides: 1.653228e-03 | Free_top: 4.401812e-02 | Free_bot: 3.399367e-02 | Load: 1.048367e-01 | Energy: -3.439134e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.198416e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.829556e-01 | Time: 0.5148s
L-BFGS Step 23: Total Loss: 1.907009e+02 | PDE: 2.127433e-01 | BC_sides: 1.644092e-03 | Free_top: 4.504140e-02 | Free_bot: 3.595767e-02 | Load: 1.046514e-01 | Energy: -3.442904e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.213299e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.826893e-01 | Time: 0.5133s
L-BFGS Step 24: Total Loss: 1.906304e+02 | PDE: 2.255966e-01 | BC_sides: 1.633759e-03 | Free_top: 4.672737e-02 | Free_bot: 3.913660e-02 | Load: 1.044515e-01 | Energy: -3.454652e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.312784e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.823995e-01 | Time: 0.5139s
L-BFGS Step 25: Total Loss: 1.904900e+02 | PDE: 2.416879e-01 | BC_sides: 1.626497e-03 | Free_top: 4.827288e-02 | Free_bot: 4.314448e-02 | Load: 1.047059e-01 | Energy: -3.476601e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.537685e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.821690e-01 | Time: 0.5175s
L-BFGS Step 26: Total Loss: 1.902080e+02 | PDE: 2.575729e-01 | BC_sides: 1.624870e-03 | Free_top: 4.869093e-02 | Free_bot: 4.577332e-02 | Load: 1.056354e-01 | Energy: -3.491182e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.734865e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.820499e-01 | Time: 0.5153s
L-BFGS Step 27: Total Loss: 1.899452e+02 | PDE: 2.729043e-01 | BC_sides: 1.632525e-03 | Free_top: 4.734256e-02 | Free_bot: 4.404017e-02 | Load: 1.070394e-01 | Energy: -3.501145e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.593531e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.821748e-01 | Time: 0.5154s
L-BFGS Step 28: Total Loss: 1.897394e+02 | PDE: 2.690983e-01 | BC_sides: 1.634710e-03 | Free_top: 4.567196e-02 | Free_bot: 4.182994e-02 | Load: 1.082740e-01 | Energy: -3.490182e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.564873e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.821182e-01 | Time: 0.5176s
L-BFGS Step 29: Total Loss: 1.896103e+02 | PDE: 2.721107e-01 | BC_sides: 1.629899e-03 | Free_top: 4.570428e-02 | Free_bot: 4.108639e-02 | Load: 1.084575e-01 | Energy: -3.471098e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.610484e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.819479e-01 | Time: 0.5184s
L-BFGS Step 30: Total Loss: 1.895298e+02 | PDE: 2.761339e-01 | BC_sides: 1.619321e-03 | Free_top: 4.628548e-02 | Free_bot: 4.010557e-02 | Load: 1.083015e-01 | Energy: -3.470258e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.617721e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.815161e-01 | Time: 0.5178s
