L-BFGS Step 30: Total Loss: 3.982278e-01 | PDE: 2.218485e-03 | BC_sides: 5.399877e-05 | Free_top: 6.513734e-03 | Free_bot: 1.404127e-02 | Load: 1.389638e-02 | Energy: -2.390955e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.477459e-04 | ImpactInv: 0.000000e+00 | Time: 0.5338s
L-BFGS Step 31: Total Loss: 3.981654e-01 | PDE: 2.211419e-03 | BC_sides: 5.407427e-05 | Free_top: 6.506815e-03 | Free_bot: 1.402291e-02 | Load: 1.390568e-02 | Energy: -2.392073e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.476873e-04 | ImpactInv: 0.000000e+00 | Time: 0.5461s
L-BFGS Step 32: Total Loss: 3.980939e-01 | PDE: 2.208910e-03 | BC_sides: 5.408236e-05 | Free_top: 6.507194e-03 | Free_bot: 1.402589e-02 | Load: 1.390569e-02 | Energy: -2.392783e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.476575e-04 | ImpactInv: 0.000000e+00 | Time: 0.5344s
L-BFGS Step 33: Total Loss: 3.980483e-01 | PDE: 2.212979e-03 | BC_sides: 5.407192e-05 | Free_top: 6.507035e-03 | Free_bot: 1.402343e-02 | Load: 1.389161e-02 | Energy: -2.393177e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.476548e-04 | ImpactInv: 0.000000e+00 | Time: 0.5367s
L-BFGS Step 34: Total Loss: 3.979866e-01 | PDE: 2.229398e-03 | BC_sides: 5.392489e-05 | Free_top: 6.516713e-03 | Free_bot: 1.406161e-02 | Load: 1.383627e-02 | Energy: -2.392493e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.479772e-04 | ImpactInv: 0.000000e+00 | Time: 0.5352s
L-BFGS Step 35: Total Loss: 3.979666e-01 | PDE: 2.235034e-03 | BC_sides: 5.397113e-05 | Free_top: 6.509284e-03 | Free_bot: 1.403244e-02 | Load: 1.383030e-02 | Energy: -2.392520e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.477770e-04 | ImpactInv: 0.000000e+00 | Time: 0.5356s
L-BFGS Step 36: Total Loss: 3.978493e-01 | PDE: 2.241808e-03 | BC_sides: 5.397943e-05 | Free_top: 6.505467e-03 | Free_bot: 1.402120e-02 | Load: 1.381892e-02 | Energy: -2.392055e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.477093e-04 | ImpactInv: 0.000000e+00 | Time: 0.5351s
L-BFGS Step 37: Total Loss: 3.978056e-01 | PDE: 2.254350e-03 | BC_sides: 5.398503e-05 | Free_top: 6.500183e-03 | Free_bot: 1.401141e-02 | Load: 1.379753e-02 | Energy: -2.391353e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.476369e-04 | ImpactInv: 0.000000e+00 | Time: 0.5395s
L-BFGS Step 38: Total Loss: 3.977503e-01 | PDE: 2.264593e-03 | BC_sides: 5.401298e-05 | Free_top: 6.494704e-03 | Free_bot: 1.400386e-02 | Load: 1.377861e-02 | Energy: -2.390985e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.475597e-04 | ImpactInv: 0.000000e+00 | Time: 0.5396s
L-BFGS Step 39: Total Loss: 3.976803e-01 | PDE: 2.285319e-03 | BC_sides: 5.405939e-05 | Free_top: 6.493848e-03 | Free_bot: 1.397982e-02 | Load: 1.373340e-02 | Energy: -2.390312e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.475863e-04 | ImpactInv: 0.000000e+00 | Time: 0.5390s
